Package,TaskView,,,,,
plspm,ChemPhys,,,,,
ppls,ChemPhys,,,,,
prospectr,ChemPhys,,,,,
psy,ChemPhys,,,,,
PTAkæ(core),ChemPhys,,,,,
quantchem,ChemPhys,,,,,
rcdk,ChemPhys,,,,,
rcdklibs,ChemPhys,,,,,
represent,ChemPhys,,,,,
resemble,ChemPhys,,,,,
RobPer,ChemPhys,,,,,
rpubchem,ChemPhys,,,,,
sapa,ChemPhys,,,,,
SCEPtER,ChemPhys,,,,,
SCEPtERbinary,ChemPhys,,,,,
simecol,ChemPhys,,,,,
snapshot,ChemPhys,,,,,
solaR,ChemPhys,,,,,
som,ChemPhys,,,,,
SPADAR,ChemPhys,,,,,
speaq,ChemPhys,,,,,
spls,ChemPhys,,,,,
stellaR,ChemPhys,,,,,
stepPlr,ChemPhys,,,,,
subselect,ChemPhys,,,,,
TIMP,ChemPhys,,,,,
titan,ChemPhys,,,,,
titrationCurves,ChemPhys,,,,,
UPMASK,ChemPhys,,,,,
varSelRF,ChemPhys,,,,,
webchem,ChemPhys,,,,,
WilcoxCV,ChemPhys,,,,,
adaptTestæ(core),ClinicalTrials,,,,,
AGSDest,ClinicalTrials,,,,,
asdæ(core),ClinicalTrials,,,,,
asypow,ClinicalTrials,,,,,
bcrmæ(core),ClinicalTrials,,,,,
bifactorialæ(core),ClinicalTrials,,,,,
binomSamSize,ClinicalTrials,,,,,
blockrandæ(core),ClinicalTrials,,,,,
clinfunæ(core),ClinicalTrials,,,,,
clinsig,ClinicalTrials,,,,,
clusterPower,ClinicalTrials,,,,,
coin,ClinicalTrials,,,,,
conf.design,ClinicalTrials,,,,,
CRM,ClinicalTrials,,,,,
crmPack,ClinicalTrials,,,,,
CRTSizeæ(core),ClinicalTrials,,,,,
dfcrmæ(core),ClinicalTrials,,,,,
dfped,ClinicalTrials,,,,,
dfpk,ClinicalTrials,,,,,
DoseFinding,ClinicalTrials,,,,,
epibasix,ClinicalTrials,,,,,
ewoc,ClinicalTrials,,,,,
experimentæ(core),ClinicalTrials,,,,,
FrF2,ClinicalTrials,,,,,
GroupSeqæ(core),ClinicalTrials,,,,,
gsbDesign,ClinicalTrials,,,,,
gsDesignæ(core),ClinicalTrials,,,,,
HH,ClinicalTrials,,,,,
Hmiscæ(core),ClinicalTrials,,,,,
InformativeCensoring,ClinicalTrials,,,,,
ldboundsæ(core),ClinicalTrials,,,,,
longpower,ClinicalTrials,,,,,
MChtestæ(core),ClinicalTrials,,,,,
MCPMod,ClinicalTrials,,,,,
Mediana,ClinicalTrials,,,,,
meta,ClinicalTrials,,,,,
metafor,ClinicalTrials,,,,,
metaLik,ClinicalTrials,,,,,
metasens,ClinicalTrials,,,,,
multcomp,ClinicalTrials,,,,,
nppbib,ClinicalTrials,,,,,
PIPSæ(core),ClinicalTrials,,,,,
PowerTOSTæ(core),ClinicalTrials,,,,,
pwræ(core),ClinicalTrials,,,,,
PwrGSDæ(core),ClinicalTrials,,,,,
qtlDesignæ(core),ClinicalTrials,,,,,
rmeta,ClinicalTrials,,,,,
samplesize,ClinicalTrials,,,,,
seqmonæ(core),ClinicalTrials,,,,,
speff2trialæ(core),ClinicalTrials,,,,,
ssanv,ClinicalTrials,,,,,
survivalæ(core),ClinicalTrials,,,,,
TEQRæ(core),ClinicalTrials,,,,,
ThreeArmedTrials,ClinicalTrials,,,,,
ThreeGroups,ClinicalTrials,,,,,
TrialSizeæ(core),ClinicalTrials,,,,,
AdMit,Cluster,,,,,
ADPclust,Cluster,,,,,
amap,Cluster,,,,,
apcluster,Cluster,,,,,
BayesLCA,Cluster,,,,,
bayesm,Cluster,,,,,
bayesmix,Cluster,,,,,
bclust,Cluster,,,,,
bgmm,Cluster,,,,,
biclust,Cluster,,,,,
Bmix,Cluster,,,,,
bmixture,Cluster,,,,,
cba,Cluster,,,,,
cclust,Cluster,,,,,
CEC,Cluster,,,,,
CHsharp,Cluster,,,,,
clue,Cluster,,,,,
clusteræ(core),Cluster,,,,,
clusterfly,Cluster,,,,,
clusterGeneration,Cluster,,,,,
clusterRepro,Cluster,,,,,
clusterSim,Cluster,,,,,
clustMixType,Cluster,,,,,
clustvarsel,Cluster,,,,,
clv,Cluster,,,,,
clValid,Cluster,,,,,
CoClust,Cluster,,,,,
compHclust,Cluster,,,,,
dbscan,Cluster,,,,,
dendextend,Cluster,,,,,
depmix,Cluster,,,,,
depmixS4,Cluster,,,,,
dpmixsim,Cluster,,,,,
dynamicTreeCut,Cluster,,,,,
e1071,Cluster,,,,,
edci,Cluster,,,,,
EMCluster,Cluster,,,,,
evclust,Cluster,,,,,
FactoClass,Cluster,,,,,
fastcluster,Cluster,,,,,
fclust,Cluster,,,,,
FisherEM,Cluster,,,,,
flashClust,Cluster,,,,,
flexclustæ(core),Cluster,,,,,
flexCWM,Cluster,,,,,
flexmixæ(core),Cluster,,,,,
fpc,Cluster,,,,,
FunCluster,Cluster,,,,,
funFEM,Cluster,,,,,
funHDDC,Cluster,,,,,
gamlss.mx,Cluster,,,,,
genie,Cluster,,,,,
GLDEX,Cluster,,,,,
GSM,Cluster,,,,,
HDclassif,Cluster,,,,,
hybridHclust,Cluster,,,,,
idendr0,Cluster,,,,,
isopam,Cluster,,,,,
kernlab,Cluster,,,,,
kml,Cluster,,,,,
largeVis,Cluster,,,,,
latentnet,Cluster,,,,,
lcmm,Cluster,,,,,
longclust,Cluster,,,,,
mcclust,Cluster,,,,,
mclustæ(core),Cluster,,,,,
MetabolAnalyze,Cluster,,,,,
mixAK,Cluster,,,,,
mixdist,Cluster,,,,,
mixPHM,Cluster,,,,,
mixRasch,Cluster,,,,,
mixreg,Cluster,,,,,
MixSim,Cluster,,,,,
mixsmsn,Cluster,,,,,
mixtools,Cluster,,,,,
mixture,Cluster,,,,,
MOCCA,Cluster,,,,,
movMF,Cluster,,,,,
mritc,Cluster,,,,,
NbClust,Cluster,,,,,
nor1mix,Cluster,,,,,
optpart,Cluster,,,,,
ORIClust,Cluster,,,,,
pdfCluster,Cluster,,,,,
pendensity,Cluster,,,,,
pgmm,Cluster,,,,,
pmclust,Cluster,,,,,
poLCA,Cluster,,,,,
prabclus,Cluster,,,,,
